name,league,position,minutes_played,goals,assists,expected_goals,goals_per90,assists_per90,goals_minus_xg
Jamil Siebert,Serie A,D,807,0,0,0.267,0.0,0.0,-0.267
Corrie Ndaba,Serie A,D,396,0,0,0.1216,0.0,0.0,-0.1216
Gaby Jean,Serie A,D,22,0,0,,0.0,0.0,
Wladimiro Falcone,Serie A,G,2520,0,0,,0.0,0.0,
Moise Kean,Serie A,F,1885,8,1,14.3608,0.3819628647214854,0.04774535809018567,-6.360799999999999
Albert Guðmundsson,Serie A,F,1708,4,3,4.121,0.2107728337236534,0.15807962529274006,-0.12100000000000044
Roberto Piccoli,Serie A,F,1179,2,0,4.8229,0.15267175572519084,0.0,-2.8228999999999997
Jacopo Fazzini,Serie A,F,435,0,0,1.0582,0.0,0.0,-1.0582
Manor Solomon,Serie A,M,485,2,0,0.4471,0.3711340206185567,0.0,1.5529
Nicolò Fagioli,Serie A,M,1897,1,3,1.9057,0.047443331576172906,0.1423299947285187,-0.9057
Abdelhamid Sabiri,Serie A,M,25,0,0,0.0124,0.0,0.0,-0.0124
Dodô,Serie A,M,2329,0,2,1.1437,0.0,0.07728638900815801,-1.1437
Robin Gosens,Serie A,M,1225,2,0,2.6578,0.1469387755102041,0.0,-0.6577999999999999
Rolando Mandragora,Serie A,M,1928,6,1,4.2801,0.2800829875518672,0.046680497925311204,1.7199
Cher Ndour,Serie A,M,1154,1,0,1.1611,0.0779896013864818,0.0,-0.16110000000000002
Giovanni Fabbian,Serie A,M,867,2,0,1.8979,0.20761245674740486,0.0,0.10210000000000008
Jack Harrison,Serie A,M,424,0,1,0.0466,0.0,0.2122641509433962,-0.0466
Marco Brescianini,Serie A,M,629,2,0,1.751,0.2861685214626391,0.0,0.2490000000000001
Niccolò Fortini,Serie A,M,546,0,0,0.2453,0.0,0.0,-0.2453
Tariq Lamptey,Serie A,D,32,0,0,,0.0,0.0,
Marin Pongračić,Serie A,D,2290,0,0,0.6996,0.0,0.0,-0.6996
Daniele Rugani,Serie A,D,356,0,0,,0.0,0.0,
Pietro Comuzzo,Serie A,D,1434,1,0,1.0063,0.06276150627615062,0.0,-0.006299999999999972
Luca Ranieri,Serie A,D,1696,1,0,1.6418,0.05306603773584905,0.0,-0.6417999999999999
Fabiano Parisi,Serie A,D,1214,0,1,0.6453,0.0,0.07413509060955518,-0.6453
Eddy Kouadio,Serie A,D,80,0,0,,0.0,0.0,
David De Gea,Serie A,G,2520,0,0,,0.0,0.0,
Jamie Vardy,Serie A,F,1805,5,1,4.3796,0.24930747922437674,0.04986149584487535,0.6204000000000001
Antonio Sanabria,Serie A,F,689,1,1,2.7293,0.13062409288824384,0.13062409288824384,-1.7292999999999998
Faris Moumbagna,Serie A,F,88,0,0,0.3885,0.0,0.0,-0.3885
Federico Bonazzoli,Serie A,F,1681,6,1,5.7305,0.32123735871505055,0.05353955978584176,0.26949999999999985
David Okereke,Serie A,F,109,0,0,,0.0,0.0,
Milan Đurić,Serie A,F,327,0,1,0.6924,0.0,0.27522935779816515,-0.6924
Warren Bondo,Serie A,M,1437,0,0,0.1709,0.0,0.0,-0.1709
Romano Floriani Mussolini,Serie A,M,786,0,0,0.38,0.0,0.0,-0.38
Youssef Maleh,Serie A,M,1003,0,0,0.7558,0.0,0.0,-0.7558
Alessio Zerbin,Serie A,M,1280,0,2,1.4919,0.0,0.140625,-1.4919
Jari Vandeputte,Serie A,M,1474,0,4,1.2811,0.0,0.24423337856173674,-1.2811
Martín Payero,Serie A,M,1240,1,0,1.6633,0.07258064516129033,0.0,-0.6633
Morten Thorsby,Serie A,M,1158,3,1,2.2543,0.23316062176165803,0.07772020725388601,0.7456999999999998
Giuseppe Pezzella,Serie A,M,1812,0,1,0.112,0.0,0.04966887417218543,-0.112
Tommaso Barbieri,Serie A,M,1354,0,1,0.6137,0.0,0.06646971935007386,-0.6137
Michele Collocolo,Serie A,M,310,0,0,0.0636,0.0,0.0,-0.0636
Alberto Grassi,Serie A,M,1054,0,0,0.4421,0.0,0.0,-0.4421
Mikayil Faye,Serie A,D,250,0,0,0.0371,0.0,0.0,-0.0371
Filippo Terracciano,Serie A,D,2216,2,0,1.8626,0.0812274368231047,0.0,0.13739999999999997
Federico Baschirotto,Serie A,D,2250,2,0,1.0607,0.08,0.0,0.9393
Sebastiano Luperto,Serie A,D,2157,1,1,0.6044,0.041724617524339355,0.041724617524339355,0.39559999999999995
Matteo Bianchetti,Serie A,D,1679,0,2,0.3579,0.0,0.1072066706372841,-0.3579
Francesco Folino,Serie A,D,613,1,0,0.1242,0.1468189233278956,0.0,0.8758
Federico Ceccherini,Serie A,D,409,0,0,0.2036,0.0,0.0,-0.2036
Emil Audero,Serie A,G,2160,0,0,,0.0,0.0,
Marco Silvestri,Serie A,G,360,0,0,,0.0,0.0,
Gift Orban,Serie A,F,1673,7,2,9.3998,0.37656903765690375,0.1075911536162582,-2.399800000000001
Tomáš Suslov,Serie A,F,44,0,0,0.0528,0.0,0.0,-0.0528
Daniel Mosquera,Serie A,F,591,0,2,0.7055,0.0,0.3045685279187817,-0.7055
Amin Sarr,Serie A,F,957,0,1,1.2136,0.0,0.09404388714733543,-1.2136
Isaac,Serie A,F,19,0,0,,0.0,0.0,
Kieron Bowie,Serie A,F,406,1,0,1.5922,0.22167487684729065,0.0,-0.5922000000000001
Junior Ajayi,Serie A,F,1,0,0,,0.0,0.0,
Rafik Belghali,Serie A,M,1125,2,0,1.5069,0.16,0.0,0.4931000000000001
Mutassim Al-Musrati,Serie A,M,765,0,1,0.2376,0.0,0.11764705882352941,-0.2376
Domagoj Bradarić,Serie A,M,1792,0,0,0.5181,0.0,0.0,-0.5181
Cheikh Niasse,Serie A,M,983,0,1,0.1728,0.0,0.09155645981688708,-0.1728
Abdou Harroui,Serie A,M,613,1,0,1.0715,0.1468189233278956,0.0,-0.0714999999999999
Sandi Lovrić,Serie A,M,307,0,1,0.2931,0.0,0.2931596091205212,-0.2931
Suat Serdar,Serie A,M,1116,2,0,2.1485,0.16129032258064516,0.0,-0.14849999999999985
Roberto Gagliardini,Serie A,M,1437,1,0,0.744,0.06263048016701461,0.0,0.256
Antoine Bernede,Serie A,M,1810,1,2,0.9146,0.04972375690607735,0.0994475138121547,0.08540000000000003
Jean-Daniel Akpa Akpro,Serie A,M,736,1,0,0.6143,0.12228260869565218,0.0,0.38570000000000004
Victor Nelsson,Serie A,D,2416,0,0,0.3815,0.0,0.0,-0.3815
Nicolás Valentini,Serie A,D,837,0,0,0.2718,0.0,0.0,-0.2718
Armel Bella-Kotchap,Serie A,D,1272,0,0,0.108,0.0,0.0,-0.108
Pol Lirola,Serie A,D,233,0,0,,0.0,0.0,
Tobias Slotsager,Serie A,D,424,0,0,0.1357,0.0,0.0,-0.1357
Martin Frese,Serie A,D,1692,2,0,1.6182,0.10638297872340426,0.0,0.3817999999999999
Andrias Edmundsson,Serie A,D,450,0,0,0.0424,0.0,0.0,-0.0424
Fallou Cham,Serie A,D,235,0,0,0.3506,0.0,0.0,-0.3506
Daniel Oyegoke,Serie A,D,330,0,0,0.0188,0.0,0.0,-0.0188
Lorenzo Montipò,Serie A,G,2250,0,0,,0.0,0.0,
Simone Perilli,Serie A,G,270,0,0,,0.0,0.0,
Samuel Iling Junior,Serie A,F,93,0,0,,0.0,0.0,
